#Fermion code
#Is hermitian: 1
304   4 3301
305   5 3301
306   6 3301
307   7 3301
308   8 3301
309   9 3301
310   10 3301
311   11 3301
312   12 3301

313   1 1011
314   2 1011
315   3 1011
316   4 1011
317   5 1011
318   6 1011
319   7 1011
320   8 1011
321   9 1011
322   10 1011
323   11 1011
324   12 1011

325   1 2011
326   2 2011
327   3 2011
328   4 2011
329   5 2011
330   6 2011
331   7 2011
332   8 2011
333   9 2011
334   10 2011
335   11 2011
336   12 2011

337   1 3011
338   2 3011
339   3 3011
340   4 3011
341   5 3011
342   6 3011
343   7 3011
344   8 3011
345   9 3011
346   10 3011
347   11 3011
348   12 3011

349   1 1111
350   2 1111
351   3 1111
352   4 1111
353   5 1111
354   6 1111
355   7 1111
356   8 1111
357   9 1111
358   10 1111
359   11 1111
360   12 1111

361   1 2111
362   2 2111
363   3 2111
364   4 2111
365   5 2111
366   6 2111
367   7 2111
368   8 2111
369   9 2111
370   10 2111
371   11 2111
372   12 2111

373   1 3111
374   2 3111
375   3 3111
376   4 3111
377   5 3111
378   6 3111
379   7 3111
380   8 3111
381   9 3111
382   10 3111
383   11 3111
384   12 3111

385   1 1211
386   2 1211
387   3 1211
388   4 1211
389   5 1211
390   6 1211
391   7 1211
392   8 1211
393   9 1211
394   10 1211
395   11 1211
396   12 1211

397   1 2211
398   2 2211
399   3 2211
400   4 2211
401   5 2211
402   6 2211
403   7 2211
404   8 2211
405   9 2211
406   10 2211
407   11 2211
408   12 2211

409   1 3211
410   2 3211
411   3 3211
412   4 3211
413   5 3211
414   6 3211
415   7 3211
416   8 3211
417   9 3211
418   10 3211
419   11 3211
420   12 3211

421   1 1311
422   2 1311
423   3 1311
424   4 1311
425   5 1311
426   6 1311
427   7 1311
428   8 1311
429   9 1311
430   10 1311
431   11 1311
432   12 1311

433   1 2311
434   2 2311
435   3 2311
436   4 2311
437   5 2311
438   6 2311
439   7 2311
440   8 2311
441   9 2311
442   10 2311
443   11 2311
444   12 2311

445   1 1021
446   2 1021
447   3 1021
448   4 1021
449   5 1021
450   6 1021
451   7 1021
452   8 1021
453   9 1021
454   10 1021
455   11 1021
456   12 1021

457   1 2021
458   2 2021
459   3 2021
460   4 2021
461   5 2021
462   6 2021
463   7 2021
464   8 2021
465   9 2021
466   10 2021
467   11 2021
468   12 2021

469   1 1121
470   2 1121
471   3 1121
472   4 1121
473   5 1121
474   6 1121
475   7 1121
476   8 1121
477   9 1121
478   10 1121
479   11 1121
480   12 1121

481   1 2121
482   2 2121
483   3 2121
484   4 2121
485   5 2121
486   6 2121
487   7 2121
488   8 2121
489   9 2121
490   10 2121
491   11 2121
492   12 2121

493   1 3121
494   2 3121
495   3 3121
496   4 3121
497   5 3121
498   6 3121
499   7 3121
500   8 3121
501   9 3121
502   10 3121
503   11 3121
504   12 3121

505   1 1221
506   2 1221
507   3 1221
508   4 1221
509   5 1221
510   6 1221
511   7 1221
512   8 1221
513   9 1221
514   10 1221
515   11 1221
516   12 1221

517   1 2221
518   2 2221
519   3 2221
520   4 2221
521   5 2221
522   6 2221
523   7 2221
524   8 2221
525   9 2221
526   10 2221
527   11 2221
528   12 2221

529   1 1321
530   2 1321
531   3 1321
532   4 1321
533   5 1321
534   6 1321
535   7 1321
536   8 1321
537   9 1321
538   10 1321
539   11 1321
540   12 1321

541   1 3321
542   2 3321
543   3 3321
544   4 3321
545   5 3321
546   6 3321
547   7 3321
548   8 3321
549   9 3321
550   10 3321
551   11 3321
552   12 3321

553   1 1031
554   2 1031
555   3 1031
556   4 1031
557   5 1031
558   6 1031
559   7 1031
560   8 1031
561   9 1031
562   10 1031
563   11 1031
564   12 1031

565   1 3031
566   2 3031
567   3 3031
568   4 3031
569   5 3031
570   6 3031
571   7 3031
572   8 3031
573   9 3031
574   10 3031
575   11 3031
576   12 3031

577   1 1131
578   2 1131
579   3 1131
580   4 1131
581   5 1131
582   6 1131
